entity_id,state,last_changed
input_number.omvormer_zolder_reductie,0.0,2026-04-08T12:56:30.091Z
input_number.omvormer_zolder_reductie,5.0,2026-04-08T12:57:00.089Z
input_number.omvormer_zolder_reductie,4.0,2026-04-08T13:00:00.283Z
input_number.omvormer_zolder_reductie,6.0,2026-04-08T13:00:10.276Z
input_number.omvormer_zolder_reductie,33.0,2026-04-08T13:00:20.280Z
input_number.omvormer_zolder_reductie,25.0,2026-04-08T13:00:30.277Z
input_number.omvormer_zolder_reductie,19.0,2026-04-08T13:00:40.276Z
input_number.omvormer_zolder_reductie,9.0,2026-04-08T13:00:50.294Z
input_number.omvormer_zolder_reductie,5.0,2026-04-08T13:01:00.282Z
input_number.omvormer_zolder_reductie,9.0,2026-04-08T13:01:10.275Z
input_number.omvormer_zolder_reductie,6.0,2026-04-08T13:01:30.277Z
input_number.omvormer_zolder_reductie,5.0,2026-04-08T13:01:40.278Z
input_number.omvormer_zolder_reductie,6.0,2026-04-08T13:02:00.292Z
input_number.omvormer_zolder_reductie,12.0,2026-04-08T13:02:20.277Z
input_number.omvormer_zolder_reductie,0.0,2026-04-08T13:02:30.283Z
input_number.omvormer_zolder_reductie,2.0,2026-04-08T13:03:40.284Z
input_number.omvormer_zolder_reductie,4.0,2026-04-08T13:03:50.277Z
input_number.omvormer_zolder_reductie,6.0,2026-04-08T13:04:00.276Z
input_number.omvormer_zolder_reductie,5.0,2026-04-08T13:04:20.276Z
input_number.omvormer_zolder_reductie,7.0,2026-04-08T13:04:40.275Z
input_number.omvormer_zuid_reductie,9.0,2026-04-08T10:55:00.000Z
input_number.omvormer_zuid_reductie,12.0,2026-04-08T10:55:00.456Z
input_number.omvormer_zuid_reductie,13.0,2026-04-08T10:55:10.455Z
input_number.omvormer_zuid_reductie,21.0,2026-04-08T10:55:20.461Z
input_number.omvormer_zuid_reductie,11.0,2026-04-08T10:55:30.481Z
input_number.omvormer_zuid_reductie,12.0,2026-04-08T10:55:40.460Z
input_number.omvormer_zuid_reductie,11.0,2026-04-08T10:55:50.458Z
input_number.omvormer_zuid_reductie,12.0,2026-04-08T10:56:00.471Z
input_number.omvormer_zuid_reductie,11.0,2026-04-08T10:56:10.455Z
input_number.omvormer_zuid_reductie,12.0,2026-04-08T10:56:20.455Z
input_number.omvormer_zuid_reductie,21.0,2026-04-08T10:56:40.471Z
input_number.omvormer_zuid_reductie,11.0,2026-04-08T10:56:50.471Z
input_number.omvormer_zuid_reductie,12.0,2026-04-08T10:57:00.470Z
input_number.omvormer_zuid_reductie,13.0,2026-04-08T10:57:10.455Z
input_number.omvormer_zuid_reductie,16.0,2026-04-08T10:57:40.455Z
input_number.omvormer_zuid_reductie,3.0,2026-04-08T10:57:50.456Z
input_number.omvormer_zuid_reductie,13.0,2026-04-08T10:58:00.455Z
input_number.omvormer_zuid_reductie,6.0,2026-04-08T10:58:10.470Z
input_number.omvormer_zuid_reductie,8.0,2026-04-08T10:58:20.455Z
input_number.omvormer_zuid_reductie,4.0,2026-04-08T10:58:30.455Z
input_number.omvormer_zuid_reductie,5.0,2026-04-08T10:58:40.478Z
input_number.omvormer_zuid_reductie,4.0,2026-04-08T10:58:50.473Z
input_number.omvormer_zuid_reductie,3.0,2026-04-08T10:59:00.456Z
input_number.omvormer_zuid_reductie,12.0,2026-04-08T10:59:10.460Z
input_number.omvormer_zuid_reductie,4.0,2026-04-08T10:59:20.456Z
input_number.omvormer_zuid_reductie,2.0,2026-04-08T10:59:40.469Z
input_number.omvormer_zuid_reductie,3.0,2026-04-08T10:59:50.470Z
input_number.omvormer_zuid_reductie,1.0,2026-04-08T11:00:30.099Z
input_number.omvormer_zuid_reductie,29.0,2026-04-08T11:01:00.096Z
input_number.omvormer_zuid_reductie,27.0,2026-04-08T11:02:00.091Z
input_number.omvormer_zuid_reductie,26.0,2026-04-08T11:02:30.089Z
input_number.omvormer_zuid_reductie,28.0,2026-04-08T11:03:00.091Z
input_number.omvormer_zuid_reductie,29.0,2026-04-08T11:03:30.093Z
input_number.omvormer_zuid_reductie,28.0,2026-04-08T11:05:00.089Z
input_number.omvormer_zuid_reductie,24.0,2026-04-08T11:05:30.094Z
input_number.omvormer_zuid_reductie,25.0,2026-04-08T11:06:00.095Z
input_number.omvormer_zuid_reductie,28.0,2026-04-08T11:06:30.092Z
input_number.omvormer_zuid_reductie,29.0,2026-04-08T11:07:00.094Z
input_number.omvormer_zuid_reductie,31.0,2026-04-08T11:08:00.091Z
input_number.omvormer_zuid_reductie,29.0,2026-04-08T11:09:00.091Z
input_number.omvormer_zuid_reductie,28.0,2026-04-08T11:09:30.094Z
input_number.omvormer_zuid_reductie,31.0,2026-04-08T11:10:00.091Z
input_number.omvormer_zuid_reductie,33.0,2026-04-08T11:10:30.166Z
input_number.omvormer_zuid_reductie,31.0,2026-04-08T11:11:00.101Z
input_number.omvormer_zuid_reductie,29.0,2026-04-08T11:11:30.095Z
input_number.omvormer_zuid_reductie,27.0,2026-04-08T11:12:00.315Z
input_number.omvormer_zuid_reductie,30.0,2026-04-08T11:12:30.093Z
input_number.omvormer_zuid_reductie,32.0,2026-04-08T11:13:30.092Z
input_number.omvormer_zuid_reductie,34.0,2026-04-08T11:14:00.090Z
input_number.omvormer_zuid_reductie,35.0,2026-04-08T11:15:00.096Z
input_number.omvormer_zuid_reductie,30.0,2026-04-08T11:15:30.092Z
input_number.omvormer_zuid_reductie,32.0,2026-04-08T11:16:00.098Z
input_number.omvormer_zuid_reductie,33.0,2026-04-08T11:17:00.094Z
input_number.omvormer_zuid_reductie,32.0,2026-04-08T11:17:30.375Z
input_number.omvormer_zuid_reductie,33.0,2026-04-08T11:18:00.095Z
input_number.omvormer_zuid_reductie,31.0,2026-04-08T11:18:30.100Z
input_number.omvormer_zuid_reductie,33.0,2026-04-08T11:19:00.090Z
input_number.omvormer_zuid_reductie,31.0,2026-04-08T11:19:30.093Z
input_number.omvormer_zuid_reductie,34.0,2026-04-08T11:20:30.089Z
input_number.omvormer_zuid_reductie,33.0,2026-04-08T11:21:00.090Z
input_number.omvormer_zuid_reductie,31.0,2026-04-08T11:21:30.089Z
input_number.omvormer_zuid_reductie,33.0,2026-04-08T11:23:00.090Z
input_number.omvormer_zuid_reductie,34.0,2026-04-08T11:23:30.104Z
input_number.omvormer_zuid_reductie,35.0,2026-04-08T11:24:00.090Z
input_number.omvormer_zuid_reductie,37.0,2026-04-08T11:24:30.107Z
input_number.omvormer_zuid_reductie,40.0,2026-04-08T11:25:00.092Z
input_number.omvormer_zuid_reductie,41.0,2026-04-08T11:25:30.090Z
input_number.omvormer_zuid_reductie,35.0,2026-04-08T11:26:00.094Z
input_number.omvormer_zuid_reductie,36.0,2026-04-08T11:27:30.093Z
input_number.omvormer_zuid_reductie,38.0,2026-04-08T11:28:00.089Z
input_number.omvormer_zuid_reductie,40.0,2026-04-08T11:28:30.100Z
input_number.omvormer_zuid_reductie,39.0,2026-04-08T11:29:00.089Z
input_number.omvormer_zuid_reductie,40.0,2026-04-08T11:30:00.092Z
input_number.omvormer_zuid_reductie,37.0,2026-04-08T11:30:30.103Z
input_number.omvormer_zuid_reductie,36.0,2026-04-08T11:31:00.093Z
input_number.omvormer_zuid_reductie,37.0,2026-04-08T11:32:30.103Z
input_number.omvormer_zuid_reductie,34.0,2026-04-08T11:33:00.092Z
input_number.omvormer_zuid_reductie,36.0,2026-04-08T11:34:00.090Z
input_number.omvormer_zuid_reductie,37.0,2026-04-08T11:35:30.109Z
input_number.omvormer_zuid_reductie,40.0,2026-04-08T11:36:00.095Z
input_number.omvormer_zuid_reductie,41.0,2026-04-08T11:37:00.104Z
input_number.omvormer_zuid_reductie,42.0,2026-04-08T11:38:00.090Z
input_number.omvormer_zuid_reductie,41.0,2026-04-08T11:39:00.091Z
input_number.omvormer_zuid_reductie,43.0,2026-04-08T11:39:30.109Z
input_number.omvormer_zuid_reductie,45.0,2026-04-08T11:40:00.094Z
input_number.omvormer_zuid_reductie,42.0,2026-04-08T11:40:30.104Z
input_number.omvormer_zuid_reductie,39.0,2026-04-08T11:41:00.108Z
input_number.omvormer_zuid_reductie,37.0,2026-04-08T11:43:30.092Z
input_number.omvormer_zuid_reductie,30.0,2026-04-08T11:44:00.095Z
input_number.omvormer_zuid_reductie,29.0,2026-04-08T11:44:30.089Z
input_number.omvormer_zuid_reductie,27.0,2026-04-08T11:46:30.103Z
input_number.omvormer_zuid_reductie,24.0,2026-04-08T11:47:00.094Z
input_number.omvormer_zuid_reductie,23.0,2026-04-08T11:52:30.112Z
input_number.omvormer_zuid_reductie,24.0,2026-04-08T11:55:30.111Z
input_number.omvormer_zuid_reductie,26.0,2026-04-08T11:56:30.114Z
input_number.omvormer_zuid_reductie,18.0,2026-04-08T12:00:30.111Z
input_number.omvormer_zuid_reductie,17.0,2026-04-08T12:01:00.090Z
input_number.omvormer_zuid_reductie,16.0,2026-04-08T12:01:30.123Z
input_number.omvormer_zuid_reductie,65.0,2026-04-08T12:05:00.101Z
input_number.omvormer_zuid_reductie,100.0,2026-04-08T12:05:30.107Z
input_number.omvormer_zuid_reductie,40.0,2026-04-08T12:07:30.100Z
input_number.omvormer_zuid_reductie,25.0,2026-04-08T12:08:00.094Z
input_number.omvormer_zuid_reductie,24.0,2026-04-08T12:08:30.095Z
input_number.omvormer_zuid_reductie,22.0,2026-04-08T12:09:00.090Z
input_number.omvormer_zuid_reductie,23.0,2026-04-08T12:12:00.100Z
input_number.omvormer_zuid_reductie,24.0,2026-04-08T12:13:30.093Z
input_number.omvormer_zuid_reductie,25.0,2026-04-08T12:19:00.090Z
input_number.omvormer_zuid_reductie,23.0,2026-04-08T12:19:30.109Z
input_number.omvormer_zuid_reductie,24.0,2026-04-08T12:26:00.103Z
input_number.omvormer_zuid_reductie,23.0,2026-04-08T12:27:30.109Z
input_number.omvormer_zuid_reductie,22.0,2026-04-08T12:29:00.090Z
input_number.omvormer_zuid_reductie,19.0,2026-04-08T12:30:00.093Z
input_number.omvormer_zuid_reductie,18.0,2026-04-08T12:30:30.095Z
input_number.omvormer_zuid_reductie,17.0,2026-04-08T12:31:00.095Z
input_number.omvormer_zuid_reductie,16.0,2026-04-08T12:32:00.099Z
input_number.omvormer_zuid_reductie,17.0,2026-04-08T12:33:30.099Z
input_number.omvormer_zuid_reductie,16.0,2026-04-08T12:34:00.091Z
input_number.omvormer_zuid_reductie,12.0,2026-04-08T12:39:30.093Z
input_number.omvormer_zuid_reductie,9.0,2026-04-08T12:40:30.102Z
input_number.omvormer_zuid_reductie,11.0,2026-04-08T12:51:00.090Z
input_number.omvormer_zuid_reductie,10.0,2026-04-08T12:51:30.089Z
input_number.omvormer_zuid_reductie,62.0,2026-04-08T12:54:30.099Z
input_number.omvormer_zuid_reductie,100.0,2026-04-08T12:55:00.093Z
input_number.omvormer_zuid_reductie,91.0,2026-04-08T12:55:30.095Z
input_number.omvormer_zuid_reductie,10.0,2026-04-08T12:56:00.095Z
input_number.omvormer_zuid_reductie,0.0,2026-04-08T12:56:30.095Z
input_number.omvormer_zuid_reductie,5.0,2026-04-08T12:57:00.090Z
input_number.omvormer_zuid_reductie,8.0,2026-04-08T12:57:30.097Z
input_number.omvormer_zuid_reductie,7.0,2026-04-08T13:00:00.285Z
input_number.omvormer_zuid_reductie,8.0,2026-04-08T13:00:10.278Z
input_number.omvormer_zuid_reductie,34.0,2026-04-08T13:00:20.283Z
input_number.omvormer_zuid_reductie,26.0,2026-04-08T13:00:30.281Z
input_number.omvormer_zuid_reductie,19.0,2026-04-08T13:00:40.277Z
input_number.omvormer_zuid_reductie,9.0,2026-04-08T13:00:50.297Z
input_number.omvormer_zuid_reductie,5.0,2026-04-08T13:01:00.284Z
input_number.omvormer_zuid_reductie,9.0,2026-04-08T13:01:10.276Z
input_number.omvormer_zuid_reductie,6.0,2026-04-08T13:01:30.278Z
input_number.omvormer_zuid_reductie,5.0,2026-04-08T13:01:40.280Z
input_number.omvormer_zuid_reductie,4.0,2026-04-08T13:01:50.280Z
input_number.omvormer_zuid_reductie,5.0,2026-04-08T13:02:00.296Z
input_number.omvormer_zuid_reductie,11.0,2026-04-08T13:02:20.279Z
input_number.omvormer_zuid_reductie,0.0,2026-04-08T13:02:30.290Z
input_number.omvormer_zuid_reductie,2.0,2026-04-08T13:03:40.286Z
input_number.omvormer_zuid_reductie,4.0,2026-04-08T13:03:50.280Z
input_number.omvormer_zuid_reductie,6.0,2026-04-08T13:04:00.277Z
input_number.omvormer_zuid_reductie,5.0,2026-04-08T13:04:20.276Z
input_number.omvormer_zuid_reductie,3.0,2026-04-08T13:04:30.276Z
input_number.omvormer_zuid_reductie,5.0,2026-04-08T13:04:40.276Z
input_number.omvormer_zuid_reductie,4.0,2026-04-08T13:04:50.278Z
sensor.ral1ch8035_grid_power,2045.40002441406,2026-04-08T10:55:00.000Z
sensor.ral1ch8035_grid_power,2058.60009765625,2026-04-08T10:55:05.421Z
sensor.ral1ch8035_grid_power,2097.10009765625,2026-04-08T10:55:15.413Z
sensor.ral1ch8035_grid_power,2120.80004882812,2026-04-08T10:55:25.413Z
sensor.ral1ch8035_grid_power,2145.40014648438,2026-04-08T10:55:35.411Z
sensor.ral1ch8035_grid_power,2134.80004882812,2026-04-08T10:55:45.430Z
sensor.ral1ch8035_grid_power,2092.5,2026-04-08T10:55:55.429Z
sensor.ral1ch8035_grid_power,2076.10009765625,2026-04-08T10:56:05.431Z
sensor.ral1ch8035_grid_power,2071.40014648438,2026-04-08T10:56:15.415Z
sensor.ral1ch8035_grid_power,2051.80004882812,2026-04-08T10:56:35.432Z
sensor.ral1ch8035_grid_power,2087.5,2026-04-08T10:56:45.423Z
sensor.ral1ch8035_grid_power,2103.40014648438,2026-04-08T10:56:55.428Z
sensor.ral1ch8035_grid_power,2120.90014648438,2026-04-08T10:57:05.454Z
sensor.ral1ch8035_grid_power,2111.80004882812,2026-04-08T10:57:15.451Z
sensor.ral1ch8035_grid_power,2112.10009765625,2026-04-08T10:57:25.424Z
sensor.ral1ch8035_grid_power,2126.80004882812,2026-04-08T10:57:35.430Z
sensor.ral1ch8035_grid_power,2126.90014648438,2026-04-08T10:57:45.437Z
sensor.ral1ch8035_grid_power,2146.5,2026-04-08T10:57:55.435Z
sensor.ral1ch8035_grid_power,2146.30004882812,2026-04-08T10:58:05.430Z
sensor.ral1ch8035_grid_power,2148.80004882812,2026-04-08T10:58:15.459Z
sensor.ral1ch8035_grid_power,2132.5,2026-04-08T10:58:25.442Z
sensor.ral1ch8035_grid_power,2130.40014648438,2026-04-08T10:58:35.441Z
sensor.ral1ch8035_grid_power,2136.0,2026-04-08T10:58:45.462Z
sensor.ral1ch8035_grid_power,2134.10009765625,2026-04-08T10:58:55.444Z
sensor.ral1ch8035_grid_power,2150.69995117188,2026-04-08T10:59:05.459Z
sensor.ral1ch8035_grid_power,2149.80004882812,2026-04-08T10:59:15.430Z
sensor.ral1ch8035_grid_power,2154.5,2026-04-08T10:59:25.450Z
sensor.ral1ch8035_grid_power,2152.80004882812,2026-04-08T10:59:35.442Z
sensor.ral1ch8035_grid_power,2142.69995117188,2026-04-08T10:59:45.441Z
